LOCATION,Country,TRANSACT,Transaction,ACTIVITY,Activity,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,SP11,Market output at basic prices   ,Z03,Fishing and aquaculture,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,509,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z87_88,Residential care and social work activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2235,,
NLD,Netherlands,SP1,Output at basic prices  ,Z31_32,"Manufacture of furniture, other manufacturing",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,11709,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,ZP,Education,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,32071,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z26,"Manufacture of computer, electronic and optical products",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,23882,,
NLD,Netherlands,SP12,Output for own final use at basic prices,ZC,Manufacturing,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1559,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z52,Warehousing and support activities for transportation,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,435,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z49,Land transport and transport via pipelines,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,303,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z79,"Travel agency, tour operator, reservation service & related activities",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,2,,
NLD,Netherlands,SP1,Output at basic prices  ,Z17,Manufacture of paper and paper products,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,7659,,
NLD,Netherlands,SP12,Output for own final use at basic prices,ZO,"Public administration and defence, compulsory social security",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2198,,
NLD,Netherlands,SP12,Output for own final use at basic prices,ZS,Other service activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,367,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z61,Telecommunications,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,14166,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z96,Other personal service activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,28,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,ZB,Mining and quarrying,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z45,Wholesale and retail trade and repair of motor vehicles and motorcycles,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP1,Output at basic prices  ,Z77,Rental and leasing activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,19073,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZG,"Wholesale and retail trade, repair of motor vehicles and motorcycles",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,176901,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z73,Advertising and market research,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,10232,,
NLD,Netherlands,SP1,Output at basic prices  ,Z71,"Architectural and engineering activities, technical testing & analysis",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,18425,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z10_12,"Manufacture of food products, beverages and tobacco products",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,72306,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z47,"Retail trade, except of motor vehicles and motorcycles",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z59_60,Audiovisual and broadcasting activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,15018,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z80_82,"Security, services to buildings and other business support activities",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,153,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZK,Financial and insurance activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,82271,,
NLD,Netherlands,SP1,Output at basic prices  ,ZI,Accommodation and food service activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,30490,,
