"LOCATION","Country","TRANSACT","Transaction","PRODUCT","Product","FLOW","Flow","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP2Z51","P2, Air transport","P51","Air transport services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1160,,
"NLD","Netherlands","UP2Z36","P2, Water collection, treatment and supply   ","P02","Products of forestry, logging and related services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z29","P2, Manufacture of motor vehicles, trailers and semi-trailers ","P46","Wholesale trade services, except of motor vehicles and motorcycles","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,112,,
"NLD","Netherlands","UP2Z23","P2, Manufacture of other non-metallic mineral products  ","PN","Administrative and support services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,364,,
"NLD","Netherlands","UP2Z59_60","P2, Audiovisual and broadcasting activities  ","PK","Financial and insurance services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,90,,
"NLD","Netherlands","UP2Z33","P2, Repair and installation of machinery and equipment  ","P16","Wood & prod. of wood & cork, exc. furniture, of straw & plaiting materials","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,10,,
"NLD","Netherlands","UP2Z03","P2, Fishing and aquaculture","P25","Fabricated metal products, except machinery and equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z13_15","P2, Manufacture of textiles, wearing apparel, leather and related products","PR","Arts, entertainment and recreation services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4,,
"NLD","Netherlands","UP2Z21","P2, Manufacture of basic pharmaceutical products and preparations ","P03","Fish & other fishing products, aquaculture prod., support serv. to fishing","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z25","P2, Manufacture of fabricated metal products, except machinery & equipment","PB","Mining and quarrying","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,146,,
"NLD","Netherlands","UP2Z24","P2, Manufacture of basic metals ","P66","Services auxiliary to financial services and insurance services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4,,
"NLD","Netherlands","UP2Z61","P2, Telecommunications","P03","Fish & other fishing products, aquaculture prod., support serv. to fishing","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z29","P2, Manufacture of motor vehicles, trailers and semi-trailers ","P79","Travel agency, tour operator & other reservation services & related serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z22","P2, Manufacture of rubber and plastics products ","P13_15","Textiles, wearing apparel, leather and related products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,123,,
"NLD","Netherlands","UP2Z20","P2, Manufacture of chemicals and chemical products   ","PK","Financial and insurance services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,463,,
"NLD","Netherlands","UP2Z01","P2, Crop and animal production, hunting and related service activities","P52","Warehousing and support services for transportation","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,95,,
"NLD","Netherlands","UP2Z68B","P2, Real estate activities excluding imputed rents   ","PJ","Information and communication services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,719,,
"NLD","Netherlands","UP2Z30","P2, Manufacture of other transport equipment ","P17","Paper and paper products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,13,,
"NLD","Netherlands","UP2Z36","P2, Water collection, treatment and supply   ","P30","Other transport equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z59_60","P2, Audiovisual and broadcasting activities  ","P51","Air transport services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3,,
"NLD","Netherlands","UP2Z77","P2, Rental and leasing activities","P02","Products of forestry, logging and related services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z23","P2, Manufacture of other non-metallic mineral products  ","P46","Wholesale trade services, except of motor vehicles and motorcycles","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,33,,
"NLD","Netherlands","UP2Z58","P2, Publishing activities  ","PM","Professional, scientific and technical services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,596,,
"NLD","Netherlands","UP2Z29","P2, Manufacture of motor vehicles, trailers and semi-trailers ","P29","Motor vehicles, trailers and semi-trailers","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,9360,,
"NLD","Netherlands","UP2Z25","P2, Manufacture of fabricated metal products, except machinery & equipment","P69_70","Legal, accounting, head offices services, management consultancy serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,580,,
"NLD","Netherlands","UP2Z01","P2, Crop and animal production, hunting and related service activities","P86","Human health services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,7,,
"NLD","Netherlands","UP2Z16","P2, Manufacture of wood and of products of wood and cork,etc. ","P74_75","Other professional, scientific and tech. services and veterinary services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,5,,
"NLD","Netherlands","UP2Z69_70","P2, Legal, accounting, head offices, management consultancy activities","PH","Transportation and storage services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,6075,,
"NLD","Netherlands","UP2Z21","P2, Manufacture of basic pharmaceutical products and preparations ","PI","Accommodation and food services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,14,,
"NLD","Netherlands","UP2Z24","P2, Manufacture of basic metals ","P90_92","Creative, arts, entmnt, library, museum, other cult. serv., gambling serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,7,,
