"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UB1G","Value added at basic prices","Z66","Activities auxiliary to financial service and insurance activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,6616,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z51","Air transport","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1390,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z59_60","Audiovisual and broadcasting activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,13308,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z49","Land transport and transport via pipelines","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,19947,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z74_75","Other professional, scientific and tech. activities, veterinary activ.","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3427,,
"NLD","Netherlands","UP1","Output at basic prices","ZH","Transportation and storage","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,87744,,
"NLD","Netherlands","UP1","Output at basic prices","ZS","Other service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,14344,,
"NLD","Netherlands","UD1","Compensation of employees","ZA","Agriculture, forestry and fishing","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3562,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z23","Manufacture of other non-metallic mineral products","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2229,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","ZI","Accommodation and food service activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,6707,,
"NLD","Netherlands","UD1","Compensation of employees","ZH","Transportation and storage","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,19901,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z27","Manufacture of electrical equipment","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3180,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z64","Financial service activities, except insurance and pension funding","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,7297,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z94","Activities of membership organizations","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3022,,
"NLD","Netherlands","UD1","Compensation of employees","Z52","Warehousing and support activities for transportation","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,6208,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","ZTOT","Total activity","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1200,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z31_32","Manufacture of furniture, other manufacturing","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,5051,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z66","Activities auxiliary to financial service and insurance activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,2183,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z80_82","Security, services to buildings and other business support activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,760,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","ZF","Construction","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,2815,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","ZN","Administrative and support service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4143,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z26","Manufacture of computer, electronic and optical products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1370,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z71","Architectural and engineering activities, technical testing & analysis","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1048,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z53","Postal and courier activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,319,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z58","Publishing activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1134,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z61","Telecommunications","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3324,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","ZC","Manufacturing","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,15711,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZQ","Human health and social work activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,66954,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z74_75","Other professional, scientific and tech. activities, veterinary activ.","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1624,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","ZP","Education","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,11172,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z64","Financial service activities, except insurance and pension funding","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1637,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z94","Activities of membership organizations","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2785,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z80_82","Security, services to buildings and other business support activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,12066,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z17","Manufacture of paper and paper products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,980,,
"NLD","Netherlands","UP1","Output at basic prices","Z02","Forestry and logging","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,350,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z65","Insurance, reinsurance and pension funding, except compulsory S.S.","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,14607,,
"NLD","Netherlands","UP1","Output at basic prices","Z24","Manufacture of basic metals","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,8728,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z01","Crop and animal production, hunting and related service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,8368,,
"NLD","Netherlands","UD1","Compensation of employees","Z69_70","Legal, accounting, head offices, management consultancy activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,24866,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z79","Travel agency, tour operator, reservation service & related activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,4544,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z33","Repair and installation of machinery and equipment","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1966,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z68B","Real estate activities excluding imputed rents","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,24196,,
"NLD","Netherlands","UP1","Output at basic prices","ZT","Act. of HH as employers, undif. G&S-producing activities of HH for own","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,784,,
"NLD","Netherlands","UD1","Compensation of employees","Z77","Rental and leasing activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1845,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","ZB","Mining and quarrying","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2576,,
"NLD","Netherlands","UP1","Output at basic prices","Z33","Repair and installation of machinery and equipment","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,11084,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z46","Wholesale trade, except of motor vehicles and motorcycles","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,35190,,
"NLD","Netherlands","UP1","Output at basic prices","ZP","Education","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,44625,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z59_60","Audiovisual and broadcasting activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,6,,
"NLD","Netherlands","UP1","Output at basic prices","Z25","Manufacture of fabricated metal products, except machinery & equipment","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,22382,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","ZS","Other service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,6138,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z78","Employment activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1863,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z20","Manufacture of chemicals and chemical products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,10994,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZJ","Information and communication","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,36058,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z90_92","Arts, cultural activities, gambling and betting activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4414,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z62_63","IT and other information services","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1995,,
"NLD","Netherlands","UP1","Output at basic prices","Z95","Repair of computers and personal and household goods","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1170,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z95","Repair of computers and personal and household goods","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-6,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z65","Insurance, reinsurance and pension funding, except compulsory S.S.","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3704,,
"NLD","Netherlands","UD1","Compensation of employees","Z31_32","Manufacture of furniture, other manufacturing","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,4057,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","ZTOT","Total activity","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,297127,,
"NLD","Netherlands","UD1","Compensation of employees","Z27","Manufacture of electrical equipment","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1506,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","ZP","Education","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,19847,,
"NLD","Netherlands","UP1","Output at basic prices","Z94","Activities of membership organizations","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,6847,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z58","Publishing activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,2713,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z72","Scientific research and development","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,696,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZG","Wholesale and retail trade, repair of motor vehicles and motorcycles","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,101787,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z19","Manufacture of coke and refined petroleum products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,623,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZK","Financial and insurance activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,46305,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z30","Manufacture of other transport equipment","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,35,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","ZL","Real estate activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,30268,,
"NLD","Netherlands","UP1","Output at basic prices","Z45","Wholesale and retail trade and repair of motor vehicles and motorcycles","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,20635,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","ZB","Mining and quarrying","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4736,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z36","Water collection, treatment and supply","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,995,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z16","Manufacture of wood and of products of wood and cork,etc.","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,120,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z71","Architectural and engineering activities, technical testing & analysis","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2111,,
"NLD","Netherlands","UP1","Output at basic prices","ZR","Arts, entertainment and recreation","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,16546,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z02","Forestry and logging","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,179,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z22","Manufacture of rubber and plastics products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,428,,
"NLD","Netherlands","UD1","Compensation of employees","Z21","Manufacture of basic pharmaceutical products and preparations","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1018,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z93","Sports activities and amusement and recreation activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,2991,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z94","Activities of membership organizations","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZE","Water supply, sewerage, waste management and remediation activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,4379,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z20","Manufacture of chemicals and chemical products","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,5,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","ZJ","Information and communication","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2505,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z87_88","Residential care and social work activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,19602,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z47","Retail trade, except of motor vehicles and motorcycles","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2838,,
"NLD","Netherlands","UD1","Compensation of employees","Z01","Crop and animal production, hunting and related service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3468,,
"NLD","Netherlands","UP1","Output at basic prices","Z28","Manufacture of machinery and equipment n.e.c.","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,35633,,
"NLD","Netherlands","UD1","Compensation of employees","ZQ","Human health and social work activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,53199,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z96","Other personal service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3670,,
"NLD","Netherlands","UD1","Compensation of employees","ZK","Financial and insurance activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,17484,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","ZS","Other service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-25,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z65","Insurance, reinsurance and pension funding, except compulsory S.S.","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,48,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZU","Activities of extraterritorial organizations and bodies","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z49","Land transport and transport via pipelines","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-1307,,
