LOCATION,Country,TRANSACT,Transaction,PRODUCT,Product,FLOW,Flow,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,UP2Z53,"P2, Postal and courier activities ",BP78,"Employment services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,199,,
NLD,Netherlands,UP2Z68A,"P2, Imputed rents of owner-occupied dwellings",BP53,"Postal and courier services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2ZE,"P2, Water supply, sewerage, waste management and remediation activities ",BP50,"Water transport services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z71,"P2, Architectural and engineering activities, technical testing & analysis ",BP01,"Products of agriculture, hunting and related services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z03,"P2, Fishing and aquaculture ",BP66,"Services auxiliary to financial services and insurance services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2ZK,"P2, Financial and insurance activities ",BP66,"Services auxiliary to financial services and insurance services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,7350,,
NLD,Netherlands,UP2Z20,"P2, Manufacture of chemicals and chemical products",BP33,"Repair and installation services of machinery and equipment, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,643,,
NLD,Netherlands,UP2Z87_88,"P2, Residential care and social work activities",BP61,"Telecommunications services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,181,,
NLD,Netherlands,UP2Z69_70,"P2, Legal, accounting, head offices, management consultancy activities",BP49,"Land transport services and transport services via pipelines, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,195,,
NLD,Netherlands,UP2Z94,"P2, Activities of membership organizations ",BP17,"Paper and paper products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,12,,
