"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","PRODUCT","Product","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","P77","Rental and leasing services ","RT","Ratio","2019","2019",,,"0","Units",,,40.34747,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","P36","Natural water, water treatment and supply services","RT","Ratio","2019","2019",,,"0","Units",,,0.1,,
"NLD","Netherlands","STTM_UP3S14","Trade and transport margins in percentage of final consumption expenditure by households","ZTOT","Total activity","PA","Products of agriculture, forestry and fishing","RT","Ratio","2019","2019",,,"0","Units",,,45.793103,,
"NLD","Netherlands","STTM_UP3S14","Trade and transport margins in percentage of final consumption expenditure by households","ZTOT","Total activity","P59_60","Audiovisual and broadcasting services","RT","Ratio","2019","2019",,,"0","Units",,,6.327543,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","PS","Other services","RT","Ratio","2019","2019",,,"0","Units",,,2.552572,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","P17","Paper and paper products","RT","Ratio","2019","2019",,,"0","Units",,,37.69812,,
"NLD","Netherlands","STTM_UP3S14","Trade and transport margins in percentage of final consumption expenditure by households","ZTOT","Total activity","P96","Other personal services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","P16","Wood & prod. of wood & cork, exc. furniture, of straw & plaiting materials","RT","Ratio","2019","2019",,,"0","Units",,,0.7,,
"NLD","Netherlands","STTM_UP3S14","Trade and transport margins in percentage of final consumption expenditure by households","ZTOT","Total activity","P80_82","Security & investigation serv., serv. to buildings & other business support","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","P72","Scientific research and development services ","RT","Ratio","2019","2019",,,"0","Units",,,0.2,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","P72","Scientific research and development services ","RT","Ratio","2019","2019",,,"0","Units",,,24.188854,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","P29","Motor vehicles, trailers and semi-trailers","RT","Ratio","2019","2019",,,"0","Units",,,43.1692,,
"NLD","Netherlands","STTM_UP3S14","Trade and transport margins in percentage of final consumption expenditure by households","ZTOT","Total activity","P31_32","Furniture and other manufactured goods","RT","Ratio","2019","2019",,,"0","Units",,,45.951711,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","P29","Motor vehicles, trailers and semi-trailers","RT","Ratio","2019","2019",,,"0","Units",,,1.1,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","PL","Real estate services","RT","Ratio","2019","2019",,,"0","Units",,,3.3,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","P90_92","Creative, arts, entmnt, library, museum, other cult. serv., gambling serv.","RT","Ratio","2019","2019",,,"0","Units",,,0.3,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","PB","Mining and quarrying","RT","Ratio","2019","2019",,,"0","Units",,,68.882824,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","P23","Other non-metallic mineral products","RT","Ratio","2019","2019",,,"0","Units",,,28.684745,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","P78","Employment services","RT","Ratio","2019","2019",,,"0","Units",,,3.9,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","PF","Constructions and construction works","RT","Ratio","2019","2019",,,"0","Units",,,1.637346,,
"NLD","Netherlands","STTM_UP3S14","Trade and transport margins in percentage of final consumption expenditure by households","ZTOT","Total activity","P25","Fabricated metal products, except machinery and equipment","RT","Ratio","2019","2019",,,"0","Units",,,45.914602,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","P78","Employment services","RT","Ratio","2019","2019",,,"0","Units",,,1.039433,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","PD","Electricity, gas, steam and air conditioning ","RT","Ratio","2019","2019",,,"0","Units",,,1.3,,
"NLD","Netherlands","UP2B_PSHARE","Intermediate consumption - share of products used by activity at basic prices","ZTOT","Total activity","PF","Constructions and construction works","RT","Ratio","2019","2019",,,"0","Units",,,6.8,,
"NLD","Netherlands","STTM_UP3S14","Trade and transport margins in percentage of final consumption expenditure by households","ZTOT","Total activity","P87_88","Residential care services, social work services without accommodation","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","SP7_STOTP","Imports in percentage of total supply at purchasers' prices","ZTOT","Total activity","P36","Natural water, water treatment and supply services","RT","Ratio","2019","2019",,,"0","Units",,,0.582319,,
